StudentID,TestForm,location,yearLevel
11104,5,-0.799,2
11105,5,-0.452,2
11106,5,-1.391,3
11107,5,-0.684,3
11108,5,-1.031,2
11109,5,-1.515,3
11110,5,0.024,2
11111,5,-1.643,2
11112,5,-0.098,3
11113,5,-1.643,2
11114,5,-1.269,2
11115,5,0.024,3
11116,5,-1.149,2
11117,5,-2.056,2
11118,5,-1.149,2
11119,5,-0.568,2
11120,5,2.137,3
11121,5,-1.391,2
11122,5,-0.098,2
11123,5,-1.913,2
11124,5,-0.915,3
11125,5,-1.031,2
11126,5,-0.218,3
11127,5,-0.218,3
11128,5,0.279,3
11129,5,-1.391,3
11130,5,-2.367,2
11131,5,-1.149,2
11132,5,-1.913,2
11133,5,-0.684,3
11134,5,-1.149,3
11135,5,-2.056,2
11136,5,-2.056,2
11137,5,-1.031,3
11138,5,-1.643,3
11139,5,-2.924,2
11140,5,0.024,3
11141,5,-3.15,2
11142,5,-2.722,2
11143,5,-0.684,2
11144,5,-1.391,2
11145,5,-0.799,3
11146,5,-0.915,3
11147,5,-0.915,2
11148,5,-2.056,2
11149,5,-0.684,3
11150,5,-1.149,3
11151,5,-1.269,2
11152,5,-0.799,3
11153,5,-1.515,2
11154,5,-1.776,2
11155,5,0.552,3
11156,5,-0.336,3
11157,5,0.024,3
11158,5,-1.515,2
11159,5,1.393,3
11160,5,-0.452,3
11161,5,-1.269,2
11162,5,-0.336,2
11163,5,-1.643,2
11164,5,-2.537,3
11165,5,-2.537,2
11166,5,-1.643,2
11167,5,-1.149,2
11168,5,-1.391,2
11169,5,-1.776,2
11170,5,-0.684,2
11171,5,-1.643,2
11172,5,-0.799,2
11173,5,-0.684,2
11174,5,-1.643,2
11175,5,-1.149,2
11176,5,-2.722,2
11177,5,-1.643,2
11178,5,0.552,3
11179,5,-1.913,2
11180,5,-0.218,3
11181,5,-1.149,3
11182,5,-0.799,3
11183,5,-1.776,2
11184,5,-1.391,2
11185,5,-1.913,2
11186,5,-1.031,2
